Time [s],Channel 0,Channel 1
2.972161500,1,0
2.972162000,0,0
2.972162500,1,0
2.972163000,0,0
2.972163500,1,0
2.972164000,0,1
2.972164500,1,1
2.972165000,0,1
2.972165500,1,1
2.972166000,0,1
2.972166500,1,1
2.972167000,0,0
2.972167500,1,0
2.972168000,0,0
2.972168250,1,0
2.972168750,0,0
2.972169000,0,1
2.972169250,1,1
2.972169750,0,1
2.972170250,1,1
2.972170750,0,0
2.972171250,1,0
2.972171750,0,0
2.972172250,1,0
2.972172750,0,1
2.972173250,1,1
2.972173750,0,1
2.972174250,1,1
2.972174750,0,0
2.972175250,1,0
2.972175750,0,0
2.972176250,1,0
2.972176750,0,1
2.972177250,1,1
2.972177750,0,0
2.972178250,1,0
2.972178500,0,0
2.972179000,1,0
2.972179500,0,0
2.972179750,0,1
2.972180000,1,1
2.972180500,0,1
2.972181000,1,1
2.972181500,0,1
2.972182000,1,1
2.972182500,0,0
2.972183000,1,0
2.972183500,0,0
2.972184000,1,0
2.972184500,0,0
2.972185000,1,0
2.972185500,0,1
2.972186000,1,1
2.972186500,0,1
2.972187000,1,1
2.972187500,0,1
2.972188000,1,1
2.972188500,0,0
2.972188750,1,0
2.972189250,0,0
2.972189750,1,0
2.972190250,0,1
2.972190750,1,1
2.972191250,0,0
2.972191750,1,0
2.972192250,0,1
2.972192750,1,1
2.972193250,0,1
2.972193750,1,1
2.972194250,0,0
2.972194750,1,0
2.972195250,0,0
2.972195750,1,0
2.972196250,0,0
2.972196750,1,0
2.972197250,0,1
2.972197750,1,0
2.972198250,0,1
2.972198750,1,1
2.972199000,0,0
2.972199250,0,1
2.972199500,1,1
2.972200000,0,0
2.972200500,1,0
2.972201000,0,0
2.972201500,1,0
2.972202000,0,0
2.972202500,1,0
2.972203000,0,1
2.972203500,1,1
2.972204000,0,1
2.972204500,1,1
2.972205000,0,1
2.972205500,1,1
2.972206000,0,0
2.972206500,1,0
2.972207000,0,0
2.972207500,1,0
2.972208000,0,1
2.972208500,1,1
2.972209000,0,0
2.972209250,1,0
2.972209750,0,0
2.972210000,0,1
2.972210250,1,1
2.972210750,0,0
2.972211250,1,0
2.972211750,0,0
2.972212250,1,0
2.972212750,0,1
2.972213250,1,1
2.972213750,0,1
2.972214250,1,1
2.972214750,0,1
2.972215250,1,1
2.972215750,0,0
2.972216250,1,0
2.972216750,0,0
2.972217250,1,0
2.972217750,0,0
2.972218250,1,0
2.972218750,0,1
2.972219000,1,1
2.972219500,0,0
2.972219750,0,1
2.972220000,1,1
2.972220500,0,0
2.972220750,0,1
2.972221000,1,1
2.972221500,0,0
2.972222000,1,0
2.972222500,0,0
2.972223000,1,0
2.972223500,0,0
2.972224000,1,0
2.972224500,0,1
2.972225000,1,1
2.972225500,0,1
2.972226000,1,1
2.972226500,0,1
2.972227000,1,1
2.972227500,0,0
2.972228000,1,0
2.972228500,0,0
2.972229000,1,0
2.972229250,0,0
2.972229750,1,0
2.972230250,0,0
2.972230500,0,1
2.972230750,1,1
2.972231250,0,1
2.972231750,1,1
2.972232250,0,0
2.972232750,1,0
2.972233250,0,1
2.972233750,1,1
2.972234250,0,0
2.972234750,1,0
2.972235250,0,0
2.972235750,1,0
2.972236250,0,1
2.972236750,1,1
2.972237250,0,1
2.972237750,1,1
2.972238250,0,1
2.972238750,1,1
2.972239250,0,0
2.972239500,1,0
2.972240000,0,0
2.972240500,1,0
2.972241000,0,0
2.972241500,1,0
2.972242000,0,1
2.972242500,1,1
2.972243000,0,1
2.972243500,1,1
2.972244000,0,1
2.972244500,1,1
2.972245000,0,0
2.972245500,1,0
2.972246000,0,0
2.972246500,1,0
2.972247000,0,0
2.972247500,1,0
2.972248000,0,1
2.972248500,1,1
2.972249000,0,0
2.972249500,1,0
2.972249750,0,0
2.972250000,0,1
2.972250250,1,1
2.972250750,0,0
2.972251000,0,1
2.972251250,1,1
2.972251750,0,0
2.972252250,1,0
2.972252750,0,0
2.972253250,1,0
2.972253750,0,1
2.972254250,1,1
2.972254750,0,1
2.972255250,1,1
2.972255750,0,1
2.972256250,1,1
2.972256750,0,0
2.972257250,1,0
2.972257750,0,0
2.972258250,1,0
2.972258750,0,1
2.972259250,1,1
2.972259750,0,0
2.972260000,1,0
2.972260500,0,0
2.972261000,1,0
2.972261500,0,0
2.972261750,0,1
2.972262000,1,1
2.972262500,0,1
2.972263000,1,1
2.972263500,0,0
2.972264000,1,0
2.972264500,0,1
2.972265000,1,1
2.972265500,0,0
2.972266000,1,0
2.972266500,0,0
2.972267000,1,0
2.972267500,0,1
2.972268000,1,1
2.972268500,0,1
2.972269000,1,1
2.972269500,0,1
2.972270000,1,1
2.972270250,0,0
2.972270750,1,0
2.972271250,0,0
2.972271750,1,0
2.972272250,0,0
2.972272750,1,0
2.972273250,0,1
2.972273750,1,1
2.972274250,0,0
2.972274750,1,0
2.972275250,0,1
2.972275750,1,1
2.972276250,0,0
2.972276750,1,0
2.972277250,0,1
2.972277750,1,1
2.972278250,0,1
2.972278750,1,1
2.972279250,0,0
2.972279750,1,0
2.972280250,0,0
2.972280500,1,0
2.972281000,0,0
2.972281250,0,1
2.972281500,1,1
2.972282000,0,1
2.972282500,1,1
2.972283000,0,0
2.972283500,1,0
2.972284000,0,1
2.972284500,1,1
2.972285000,0,0
2.972285500,1,0
2.972286000,0,0
2.972286500,1,0
2.972287000,0,1
2.972287500,1,1
2.972288000,0,1
2.972288500,1,1
2.972289000,0,1
2.972289500,1,1
2.972290000,0,0
2.972290500,1,0
2.972290750,0,0
2.972291250,1,0
2.972291750,0,0
2.972292250,1,0
2.972292750,0,1
2.972293250,1,1
2.972293750,0,1
2.972294250,1,1
2.972294750,0,0
2.972295250,1,0
2.972295750,0,0
2.972296250,1,0
2.972296750,0,0
2.972297250,1,0
2.972297750,0,1
2.972298250,1,1
2.972298500,1,0
2.972298750,0,1
2.972299250,1,1
2.972299750,0,1
2.972300250,1,1
2.972300750,0,0
2.972301000,1,0
2.972301500,0,0
2.972301750,0,1
2.972302000,1,1
2.972302500,0,1
2.972303000,1,1
2.972303500,0,0
2.972304000,1,0
2.972304500,0,0
2.972305000,1,0
